id,product_grocery,price_grocery,expiration_date,quantity
66,Oil - Sesame,$8.82,4/12/2023,36
67,The Pop Shoppe Pinapple,$4.25,4/4/2023,49
68,Puree - Raspberry,$8.58,9/20/2022,18
69,Beer - Sleemans Honey Brown,$9.13,8/6/2023,46
70,"Pasta - Canelloni, Single Serve",$8.04,8/25/2022,80
71,Apron,$9.83,3/28/2023,31
72,Tobasco Sauce,$5.40,9/18/2022,80
73,Sobe - Green Tea,$4.19,1/20/2023,41
74,Oil - Cooking Spray,$2.38,12/31/2022,19
75,"Liners - Banana, Paper",$7.70,10/23/2022,39
76,Laundry - Bag Cloth,$6.56,4/1/2023,50
77,Sugar - Palm,$3.97,1/24/2023,78
78,Water - Green Tea Refresher,$3.39,7/6/2023,65
79,Cake - Pancake,$7.10,8/24/2022,57
80,"Quail - Whole, Boneless",$2.19,8/23/2022,29
81,Trout - Smoked,$9.38,4/9/2023,62
82,Crackers - Soda / Saltins,$7.80,12/14/2022,41
83,Dr. Pepper - 355ml,$4.16,6/26/2023,86
84,"Pepper - White, Ground",$9.38,7/3/2023,81
85,"Cheese - Brie,danish",$3.35,8/20/2022,6
86,Tamarillo,$8.65,11/21/2022,46
87,Compound - Raspberry,$4.50,11/10/2022,14
88,"Yogurt - Strawberry, 175 Gr",$1.36,6/22/2023,75
89,"Soup - Campbells, Classic Chix",$5.98,2/19/2023,46
90,Sausage - Meat,$8.41,3/8/2023,15
91,Veal - Striploin,$9.32,4/11/2023,90
92,Nacho Chips,$0.93,4/28/2023,97
93,Hagen Daza - Dk Choocolate,$8.04,8/8/2023,98
94,Lentils - Green Le Puy,$1.61,2/2/2023,65
95,Cheese - Parmigiano Reggiano,$2.49,4/1/2023,8
96,Plasticspoonblack,$9.99,3/25/2023,37
97,Mayonnaise,$3.20,5/27/2023,75
98,Sobe - Berry Energy,$2.46,2/16/2023,82
99,Cheese - Ricotta,$3.02,8/18/2022,100
100,"Shrimp - Baby, Warm Water",$8.90,9/28/2022,60
101,Chutney Sauce - Mango,$6.97,2/8/2023,16
102,Wine - Vouvray Cuvee Domaine,$0.69,10/8/2022,88
103,Soup - Tomato Mush. Florentine,$9.01,8/29/2022,87
104,Crab - Meat,$0.59,1/8/2023,28
105,Chips - Assorted,$5.69,12/17/2022,18
106,Jicama,$6.06,6/4/2023,25
107,Plums - Red,$7.50,6/24/2023,29
108,Milk - Chocolate 500ml,$5.24,3/8/2023,27
109,Wine - Fino Tio Pepe Gonzalez,$8.45,2/4/2023,77
110,Wine - Beringer Founders Estate,$8.64,8/26/2022,81
111,Wine - Chablis 2003 Champs,$3.44,11/11/2022,100
112,Bread Crumbs - Japanese Style,$3.74,9/29/2022,91
113,Tuna - Yellowfin,$9.80,2/16/2023,1
114,Beef Ground Medium,$0.40,6/3/2023,15
115,Eggplant - Regular,$8.93,11/14/2022,16
116,Flour - Semolina,$8.45,6/18/2023,93
117,"Lemonade - Natural, 591 Ml",$9.58,5/19/2023,95
118,Ice Cream Bar - Hageen Daz To,$7.42,9/13/2022,35
119,Dry Ice,$4.54,6/7/2023,7
120,Cookies - Fortune,$1.34,7/31/2023,5
121,Cream - 18%,$1.27,5/2/2023,83
122,"Clams - Littleneck, Whole",$0.94,1/19/2023,45
123,"Bread - Pita, Mini",$0.76,2/7/2023,47
124,"Cheese - Havarti, Roasted Garlic",$9.14,7/19/2023,41
125,Bread - Bistro White,$3.00,2/3/2023,94
126,Cheese - Cheddarsliced,$7.48,1/1/2023,20
127,Cheese - Goat,$4.31,1/31/2023,22
128,Juice - Ocean Spray Kiwi,$8.76,11/22/2022,40
129,Plaintain,$5.18,5/10/2023,100
130,Gloves - Goldtouch Disposable,$8.10,12/26/2022,61
131,Squid - Tubes / Tenticles 10/20,$4.94,12/22/2022,51
132,Pork - European Side Bacon,$1.06,7/23/2023,43
133,Island Oasis - Magarita Mix,$1.58,11/9/2022,52
134,Cabbage Roll,$5.19,9/14/2022,22
135,Wine - Merlot Vina Carmen,$6.12,10/26/2022,27
136,"Fish - Atlantic Salmon, Cold",$9.85,5/18/2023,13
137,Table Cloth 81x81 Colour,$1.55,11/10/2022,14
138,"Pasta - Fusili, Dry",$7.15,10/23/2022,81
139,"Vodka - Lemon, Absolut",$1.07,2/26/2023,98
140,Appetizer - Shrimp Puff,$8.98,6/2/2023,56
141,Plastic Arrow Stir Stick,$1.11,11/26/2022,4
142,Nantucket - 518ml,$4.18,1/22/2023,33
143,Macaroons - Homestyle Two Bit,$0.44,3/20/2023,48
144,Bandage - Fexible 1x3,$2.67,11/8/2022,72
145,Jerusalem Artichoke,$0.83,9/5/2022,50
146,Bread - Hamburger Buns,$0.87,7/9/2023,21
147,Cocoa Feuilletine,$3.52,3/31/2023,11
148,"Wine - Red, Colio Cabernet",$3.64,11/1/2022,73
149,"Quail - Whole, Boneless",$4.87,9/28/2022,16
150,Garbage Bags - Clear,$4.07,2/14/2023,38
151,Honey - Liquid,$1.29,9/27/2022,79
152,Pie Shell - 5,$6.01,3/8/2023,46
153,Eggplant Italian,$5.92,2/17/2023,2
154,Chocolate Bar - Reese Pieces,$4.45,1/10/2023,19
155,Bread - Italian Sesame Poly,$5.75,7/29/2023,21
156,Soup Knorr Chili With Beans,$2.75,6/20/2023,18
157,"Veal - Shank, Pieces",$4.30,7/17/2023,46
158,Chip - Potato Dill Pickle,$3.63,11/13/2022,27
159,Cheese - Cheddar With Claret,$0.00,1/29/2023,12
160,Cookies - Englishbay Oatmeal,$0.39,12/7/2022,78
161,Trueblue - Blueberry Cranberry,$0.39,5/23/2023,11
162,"Yogurt - Raspberry, 175 Gr",$5.00,1/8/2023,18
163,Horseradish Root,$1.95,1/27/2023,78
164,Lemons,$2.41,10/10/2022,44
165,Water - Spring Water 500ml,$8.57,3/31/2023,17
166,"Wine - White, Chardonnay",$5.29,11/4/2022,27
167,Pie Filling - Pumpkin,$3.76,6/1/2023,85
168,Cake Sheet Combo Party Pack,$0.86,10/25/2022,44
169,Filter - Coffee,$7.10,8/24/2022,83
170,Cup - 4oz Translucent,$9.73,9/14/2022,55
171,Wine - Muscadet Sur Lie,$6.50,3/27/2023,58
172,Mountain Dew,$4.34,8/28/2022,20
173,Extract - Almond,$0.71,11/2/2022,57
174,Water - Green Tea Refresher,$9.20,12/14/2022,11
175,Sprouts - Alfalfa,$0.65,1/2/2023,48
176,Tandoori Curry Paste,$8.85,2/7/2023,1
177,Veal - Liver,$7.38,12/1/2022,50
178,Beans - Fava Fresh,$0.50,6/18/2023,60
179,Cranberries - Frozen,$4.16,10/14/2022,18
180,Broom - Corn,$1.96,12/13/2022,54
181,Ostrich - Prime Cut,$6.80,2/13/2023,14
182,Pasta - Orecchiette,$5.42,4/4/2023,88
183,Lemon Balm - Fresh,$2.41,12/15/2022,99
184,"Wine - White, Gewurtzraminer",$1.57,8/19/2022,23
185,Vol Au Vents,$2.98,9/24/2022,87
186,Pastry - Baked Scones - Mini,$3.88,11/8/2022,37
187,"Pasta - Fettuccine, Egg, Fresh",$4.82,1/25/2023,2
188,Napkin White,$6.58,5/14/2023,14
189,Molasses - Fancy,$7.65,7/23/2023,65
190,"Bread - Rolls, Rye",$0.81,4/2/2023,94
191,Sage - Fresh,$1.87,5/23/2023,70
192,Orange - Blood,$9.36,11/23/2022,67
193,Bread - Rosemary Focaccia,$2.14,7/30/2023,39
194,"Halibut - Whole, Fresh",$1.21,9/28/2022,35
195,"Coconut - Creamed, Pure",$5.34,7/5/2023,3
196,Chocolate - Feathers,$6.76,3/7/2023,3
197,Cheese - Camembert,$5.15,12/29/2022,89
198,Bread Country Roll,$2.96,10/30/2022,57
199,Turnip - Wax,$4.97,1/9/2023,47
200,Wine - Magnotta - Bel Paese White,$3.76,12/23/2022,90
201,"Bread - Pumpernickle, Rounds",$3.80,11/18/2022,85
202,Cheese - Pont Couvert,$6.14,8/31/2022,38
203,Flower - Daisies,$0.37,6/28/2023,5
204,Fork - Plastic,$6.02,3/5/2023,27
205,Brandy - Bar,$7.32,1/21/2023,79
206,Longos - Chicken Curried,$9.36,6/2/2023,90
207,Eggs - Extra Large,$2.34,1/7/2023,33
208,Apple - Custard,$9.34,11/13/2022,88
209,Flour - Pastry,$8.21,12/14/2022,74
210,Coffee Caramel Biscotti,$6.95,12/7/2022,41
211,Apple - Royal Gala,$4.97,1/21/2023,51
212,Bread Roll Foccacia,$2.29,1/26/2023,44
213,"Cheese - Romano, Grated",$7.74,4/16/2023,79
214,Crackers - Soda / Saltins,$6.74,2/12/2023,98
215,Gelatine Leaves - Bulk,$6.43,4/27/2023,80
216,Edible Flower - Mixed,$8.27,1/8/2023,34
217,Tea Peppermint,$5.36,11/12/2022,35
218,Cheese - Brie,$9.46,7/11/2023,28
219,"Cheese - Romano, Grated",$7.19,4/17/2023,76
220,Fruit Salad Deluxe,$3.52,10/11/2022,71
221,Petit Baguette,$9.88,8/6/2023,9
222,Cheese - Brie,$0.10,7/10/2023,73
223,Wine - Rhine Riesling Wolf Blass,$2.54,4/1/2023,75
224,"Tomatoes - Plum, Canned",$2.43,2/12/2023,6
225,Relish,$4.70,12/3/2022,29
226,Wine - Valpolicella Masi,$8.91,10/13/2022,51
227,Kiwano,$0.68,1/1/2023,23
228,"Hickory Smoke, Liquid",$0.78,5/29/2023,94
229,Veal - Nuckle,$4.84,2/23/2023,93
230,Muffin Mix - Raisin Bran,$3.88,3/20/2023,51
231,Pate Pans Yellow,$0.26,1/11/2023,74
232,Grapes - Red,$9.29,4/11/2023,73
233,"Seedlings - Buckwheat, Organic",$3.37,2/8/2023,5
234,Island Oasis - Peach Daiquiri,$2.13,4/30/2023,14
235,"Pork - Bacon,back Peameal",$0.97,11/16/2022,62
236,Pepper - Scotch Bonnet,$0.49,11/5/2022,11
237,Beer - Mcauslan Apricot,$7.36,1/15/2023,17
238,Vinegar - Raspberry,$7.11,4/1/2023,69
239,"Jam - Blackberry, 20 Ml Jar",$3.72,9/15/2022,48
240,Bread - Flat Bread,$5.61,12/16/2022,51
241,Longan,$3.27,5/25/2023,15
242,"Veal - Brisket, Provimi, Bone - In",$2.92,10/3/2022,43
243,Silicone Paper 16.5x24,$2.37,3/11/2023,5
244,Alize Gold Passion,$3.88,3/28/2023,55
245,Mace,$5.38,5/6/2023,80
246,Ecolab - Hand Soap Form Antibac,$7.13,9/8/2022,25
247,Wine - Sicilia Igt Nero Avola,$5.24,8/31/2022,39
248,Bandage - Flexible Neon,$0.10,4/9/2023,74
249,Nestea - Iced Tea,$3.80,2/2/2023,23
250,Napkin White,$1.07,5/20/2023,43
251,"Marjoram - Dried, Rubbed",$2.43,4/13/2023,23
252,Bread Fig And Almond,$2.75,5/24/2023,59
253,Raisin - Golden,$4.57,9/26/2022,44
254,Jagermeister,$0.02,10/30/2022,88
255,"Salmon - Smoked, Sliced",$6.75,5/24/2023,30
256,Butter Ripple - Phillips,$4.25,7/9/2023,73
257,"Juice - Grapefruit, 341 Ml",$3.24,4/1/2023,56
258,Gatorade - Fruit Punch,$3.30,6/22/2023,88
259,Cream - 10%,$6.72,6/9/2023,84
260,"Soda Water - Club Soda, 355 Ml",$1.25,11/26/2022,39
261,Mortadella,$3.28,8/23/2022,43
262,"Veal - Brisket, Provimi,bnls",$1.79,10/6/2022,70
263,"Sparkling Wine - Rose, Freixenet",$4.50,7/8/2023,84
264,Country Roll,$3.48,11/2/2022,100
265,"Cheese - Cheddar, Old White",$4.24,12/24/2022,56
266,Passion Fruit,$7.33,8/5/2023,56
267,V8 Splash Strawberry Banana,$4.57,7/16/2023,76
268,"Wine - White, Lindemans Bin 95",$6.42,7/2/2023,98
269,Bread Crumbs - Japanese Style,$3.89,5/2/2023,89
270,Lettuce - Red Leaf,$9.25,3/11/2023,75
271,Beer - Blue Light,$1.33,1/4/2023,32
272,Whmis - Spray Bottle Trigger,$8.69,4/27/2023,36
273,"Wine - Red, Cooking",$2.56,8/13/2023,34
274,"Syrup - Golden, Lyles",$0.05,8/27/2022,32
275,"Juice - Tomato, 10 Oz",$1.27,2/25/2023,1
276,Butter - Salted,$2.19,6/22/2023,96
277,Coffee - Ristretto Coffee Capsule,$9.03,8/18/2022,59
278,Nantucket - Orange Mango Cktl,$8.27,2/23/2023,77
279,Carbonated Water - Blackcherry,$2.12,4/15/2023,80
280,Oranges,$5.16,6/22/2023,14
281,Appetizer - Mango Chevre,$2.02,1/17/2023,79
282,Beef - Prime Rib Aaa,$0.06,12/2/2022,11
283,Cup - 8oz Coffee Perforated,$0.50,4/12/2023,54
284,"Bar Mix - Pina Colada, 355 Ml",$8.50,4/12/2023,18
285,"Leeks - Baby, White",$0.93,4/23/2023,88
286,Wine - White Cab Sauv.on,$1.96,8/17/2022,25
287,Asparagus - Frozen,$5.45,8/18/2022,84
288,"Pasta - Canelloni, Single Serve",$8.87,3/20/2023,9
289,Quail - Jumbo Boneless,$7.08,8/20/2022,31
290,"Wine - Harrow Estates, Vidal",$4.57,4/12/2023,49
291,Tea - Mint,$2.63,9/15/2022,2
292,Sauce - Thousand Island,$9.79,10/4/2022,23
293,Beans - Yellow,$3.83,8/3/2023,68
294,Cheese - Mozzarella,$4.34,2/20/2023,9
295,Shopper Bag - S - 4,$9.98,5/11/2023,92
296,Beef - Top Sirloin,$0.21,2/3/2023,53
297,Lidsoupcont Rp12dn,$6.67,3/4/2023,72
298,Wine - Mondavi Coastal Private,$6.57,6/13/2023,4
299,"Soup - Knorr, Ministrone",$1.99,9/23/2022,49
300,Lamb - Shoulder,$1.50,3/25/2023,78
301,Red Currant Jelly,$1.87,7/23/2023,7
302,Wine - Casablanca Valley,$3.34,1/10/2023,88
303,Halibut - Steaks,$3.85,11/13/2022,8
304,Soup - Boston Clam Chowder,$6.37,12/18/2022,81
305,Egg Patty Fried,$4.82,4/13/2023,61
306,Pickerel - Fillets,$5.21,5/19/2023,51
307,Cheese - Bocconcini,$5.24,7/7/2023,29
308,Paper - Brown Paper Mini Cups,$5.24,7/30/2023,56
309,Sprouts - Alfalfa,$0.95,8/4/2023,81
310,Sage - Rubbed,$3.03,1/14/2023,3
311,Soup - French Can Pea,$2.19,9/10/2022,86
312,"Beef - Rouladin, Sliced",$0.06,9/8/2022,48
313,Pepper - Sorrano,$3.65,4/8/2023,1
314,Oil - Canola,$0.19,6/24/2023,92
315,Sauce Bbq Smokey,$9.24,6/16/2023,23
316,Momiji Oroshi Chili Sauce,$5.96,7/7/2023,87
317,Avocado,$3.63,2/18/2023,20
318,Turkey - Ground. Lean,$7.81,8/8/2023,74
319,Lotus Root,$8.18,8/7/2023,22
320,Beer - Steamwhistle,$0.42,8/13/2023,35
321,Tuna - Fresh,$3.84,5/4/2023,81
322,Longos - Burritos,$2.99,3/21/2023,19
323,Sweet Pea Sprouts,$1.44,11/28/2022,74
324,"Beans - Long, Chinese",$1.03,12/21/2022,91
325,Chinese Foods - Plain Fried Rice,$9.75,8/19/2022,45
326,Wine - Mondavi Coastal Private,$5.29,7/28/2023,28
327,Onions - White,$1.28,11/19/2022,26
328,Emulsifier,$4.81,4/30/2023,63
329,Banana - Green,$6.03,5/12/2023,70
330,Scallops - In Shell,$4.73,6/29/2023,89
331,Wine - Beaujolais Villages,$8.98,11/22/2022,84
332,Cassis,$6.39,8/29/2022,46
333,"Oil - Shortening,liqud, Fry",$4.05,7/27/2023,88
334,"Cheese - Mozzarella, Shredded",$2.09,8/2/2023,44
335,"Gingerale - Schweppes, 355 Ml",$9.49,6/18/2023,64
336,"Tart Shells - Sweet, 2",$6.14,6/7/2023,15
337,Salt - Table,$5.55,8/12/2023,35
338,Wine - Gato Negro Cabernet,$9.09,5/31/2023,46
339,Basil - Seedlings Cookstown,$5.11,10/6/2022,20
340,General Purpose Trigger,$8.40,1/10/2023,77
341,Appetizer - Mango Chevre,$4.46,1/30/2023,85
342,Tea - Green,$7.27,9/12/2022,22
343,Napkin - Beverage 1 Ply,$8.84,11/19/2022,2
344,Wine - Piper Heidsieck Brut,$8.60,5/27/2023,72
345,Wine - Hardys Bankside Shiraz,$9.90,6/18/2023,96
346,Scampi Tail,$9.12,9/9/2022,65
347,Green Tea Refresher,$8.54,2/10/2023,86
348,Coffee Swiss Choc Almond,$5.59,6/23/2023,60
349,Wine - Sauvignon Blanc Oyster,$7.77,1/2/2023,32
350,Tea - Herbal Sweet Dreams,$6.40,7/27/2023,96
351,Appetizer - Crab And Brie,$7.17,1/30/2023,55
352,Puff Pastry - Sheets,$3.49,8/21/2022,9
353,Beef - Short Loin,$6.19,8/30/2022,48
354,Carrots - Jumbo,$2.88,8/1/2023,72
355,Cabbage - Nappa,$9.67,4/11/2023,18
356,Beef - Tenderloin,$4.99,11/23/2022,71
357,"Club Soda - Schweppes, 355 Ml",$8.55,3/22/2023,38
358,Wiberg Super Cure,$7.79,10/19/2022,86
359,"Yogurt - Peach, 175 Gr",$3.21,7/5/2023,68
360,"Soup - Knorr, French Onion",$7.24,6/14/2023,42
361,Ice Cream - Fudge Bars,$5.22,5/10/2023,98
362,"Soup - Knorr, Chicken Gumbo",$4.19,2/6/2023,11
363,Coffee - French Vanilla Frothy,$0.22,5/7/2023,34
364,Foam Espresso Cup Plain White,$0.65,3/4/2023,76
365,Wine - Mondavi Coastal Private,$5.57,2/6/2023,56
366,Cactus Pads,$7.39,2/10/2023,89
367,Muffin Hinge - 211n,$6.63,3/28/2023,98
368,Cheese - Asiago,$6.59,5/7/2023,43
369,Butter Ripple - Phillips,$2.46,7/2/2023,13
370,V8 Splash Strawberry Banana,$6.61,4/12/2023,83
371,"Shrimp - Baby, Cold Water",$4.19,8/12/2023,52
372,Water - Spring 1.5lit,$4.57,8/21/2022,79
373,Venison - Racks Frenched,$8.90,6/8/2023,62
374,Cheese - Oka,$7.53,2/17/2023,41
375,Ice Cream - Fudge Bars,$5.46,12/25/2022,21
376,"Wine - White, Chardonnay",$5.32,12/10/2022,7
377,Leeks - Large,$3.82,2/12/2023,34
378,Bagelers - Cinn / Brown Sugar,$4.92,5/24/2023,80
379,Beer - Labatt Blue,$9.37,7/25/2023,42
380,Salt - Seasoned,$0.26,1/24/2023,4
381,Mix - Cocktail Strawberry Daiquiri,$0.43,4/4/2023,74
382,Basil - Seedlings Cookstown,$7.47,4/9/2023,55
383,Fennel,$1.70,3/28/2023,40
384,Bread - Calabrese Baguette,$3.86,7/14/2023,79
385,Lettuce - Curly Endive,$5.22,7/12/2023,16
386,Pepsi - 600ml,$5.39,7/20/2023,74
387,"Chicken - Leg, Fresh",$2.08,3/1/2023,88
388,Cheese - Swiss Sliced,$6.28,8/28/2022,43
389,Chervil - Fresh,$1.99,11/22/2022,58
390,Jolt Cola,$0.15,2/10/2023,65
391,Cookies Cereal Nut,$1.79,12/5/2022,77
392,"Pasta - Lasagne, Fresh",$1.08,10/14/2022,80
393,"Pork - Bacon, Sliced",$5.13,1/29/2023,66
394,Soup Campbells - Italian Wedding,$8.25,4/28/2023,43
395,Pie Shells 10,$2.09,12/12/2022,6
396,"Veal - Round, Eye Of",$6.98,3/17/2023,87
397,Cheese - Wine,$4.35,6/10/2023,95
398,Soup - French Onion,$8.81,4/26/2023,86
399,Appetizer - Lobster Phyllo Roll,$7.14,2/26/2023,29
400,Nantucket Apple Juice,$1.97,1/20/2023,68
401,Nantucket - Pomegranate Pear,$6.55,1/20/2023,81
402,Dome Lid Clear P92008h,$2.93,5/30/2023,3
403,"Fish - Artic Char, Cold Smoked",$6.74,9/6/2022,93
404,Garlic Powder,$7.10,12/13/2022,44
405,Cheese - Augre Des Champs,$1.90,7/30/2023,47
406,Extract - Lemon,$9.41,8/25/2022,71
407,Bread - Multigrain,$3.15,12/11/2022,23
408,Creme De Cacao Mcguines,$4.55,8/14/2023,18
409,Apricots - Halves,$4.30,1/17/2023,20
410,Ostrich - Fan Fillet,$0.07,1/16/2023,96
411,Vinegar - Champagne,$2.25,10/15/2022,76
412,Sugar - Crumb,$4.53,12/1/2022,58
413,"Sugar - Sweet N Low, Individual",$6.83,5/12/2023,52
414,"Fish - Artic Char, Cold Smoked",$8.40,1/3/2023,65
415,Mace Ground,$5.39,5/27/2023,43
416,"Olives - Black, Pitted",$3.65,5/21/2023,18
417,Red Cod Fillets - 225g,$7.83,3/3/2023,88
418,Pasta - Orecchiette,$3.73,10/6/2022,82
419,Pork Loin Bine - In Frenched,$4.19,8/28/2022,13
420,Table Cloth 62x114 White,$3.51,7/26/2023,64
421,Beer - Corona,$4.91,3/8/2023,89
422,Beer - Sleemans Cream Ale,$6.18,11/22/2022,44
423,The Pop Shoppe Pinapple,$3.26,2/26/2023,60
424,Prunes - Pitted,$3.52,10/25/2022,4
425,Pepper - Chilli Seeds Mild,$3.17,6/11/2023,56
426,Munchies Honey Sweet Trail Mix,$8.46,6/1/2023,85
427,Sesame Seed,$7.34,2/12/2023,49
428,"Beef - Ox Tail, Frozen",$6.91,3/20/2023,20
429,Mustard - Seed,$8.49,7/23/2023,23
430,"Turnip - White, Organic",$1.45,1/17/2023,91
431,Shrimp - Tiger 21/25,$1.19,5/1/2023,6
432,Cookies Almond Hazelnut,$0.90,5/1/2023,58
433,Wine - Magnotta - Cab Sauv,$7.53,3/15/2023,19
434,Pepper - Red Bell,$1.82,1/5/2023,90
435,Coffee - Espresso,$8.11,4/19/2023,35
436,Sugar - White Packet,$3.40,7/12/2023,60
437,"Wine - Red, Harrow Estates, Cab",$4.23,6/14/2023,88
438,Rappini - Andy Boy,$2.74,5/18/2023,47
439,Monkfish Fresh - Skin Off,$9.85,7/25/2023,49
440,Glass Clear 7 Oz Xl,$2.30,11/20/2022,5
441,"Lamb - Whole Head Off,nz",$9.62,6/24/2023,62
442,"Spoon - Soup, Plastic",$8.79,10/4/2022,13
443,Soup - Campbells Bean Medley,$7.72,12/22/2022,61
444,Onions - Spanish,$1.62,5/18/2023,82
445,Wine - Puligny Montrachet A.,$0.77,3/12/2023,87
446,Beef Tenderloin Aaa,$2.50,2/27/2023,81
447,Pecan Raisin - Tarts,$2.10,5/4/2023,16
448,"Flour - Corn, Fine",$6.68,6/15/2023,31
449,Flour - Masa De Harina Mexican,$8.43,9/22/2022,41
450,Carbonated Water - Peach,$6.72,6/2/2023,69
451,"Pepper - White, Whole",$2.18,11/4/2022,99
452,Pecan Raisin - Tarts,$0.70,3/9/2023,51
453,Juice - Lime,$8.70,7/12/2023,54
454,Five Alive Citrus,$2.86,1/22/2023,36
455,Chocolate Bar - Smarties,$3.64,5/23/2023,20
456,"Iced Tea - Lemon, 340ml",$0.03,5/11/2023,99
457,Bread - Rye,$1.67,4/4/2023,91
458,Beef - Tender Tips,$0.19,4/28/2023,44
459,"Syrup - Monin, Amaretta",$6.45,7/3/2023,80
460,Pie Shell - 9,$4.77,8/22/2022,14
461,Water Chestnut - Canned,$6.14,1/24/2023,9
462,Passion Fruit,$4.46,7/20/2023,61
463,Energy Drink Red Bull,$0.27,11/6/2022,17
464,Shortbread - Cookie Crumbs,$2.50,5/1/2023,24
465,Mousse - Mango,$5.77,10/25/2022,77
466,Eggs - Extra Large,$6.87,8/19/2022,85
467,Steam Pan Full Lid,$5.70,9/29/2022,10
468,Madeira,$3.72,11/29/2022,59
469,Fudge - Chocolate Fudge,$4.94,1/31/2023,60
470,Sausage - Breakfast,$5.56,10/13/2022,16
471,"Water - Mineral, Natural",$0.25,12/26/2022,72
472,Pear - Prickly,$3.14,3/26/2023,2
473,Sauce - Demi Glace,$9.83,11/24/2022,25
474,Steampan - Half Size Shallow,$7.90,5/9/2023,36
475,Cakes Assorted,$9.79,10/29/2022,40
476,Ecolab Digiclean Mild Fm,$5.00,11/16/2022,42
477,Kiwi,$4.09,9/26/2022,34
478,"Bread - Bagels, Plain",$7.79,7/24/2023,8
479,"Squash - Pattypan, Yellow",$0.97,11/6/2022,44
480,Glass Clear 8 Oz,$1.81,9/23/2022,24
481,Tomatoes Tear Drop,$1.39,8/22/2022,77
482,Parasol Pick Stir Stick,$7.05,9/30/2022,29
